video_id,start,end,partition,person_id
DeFVU0k3Itk,10,15,train,id10002
DeFVU0k3Itk,15,20,train,id10002
DeFVU0k3Itk,20,25,train,id10002
DeFVU0k3Itk,25,57,train,id10002
DeFVU0k3Itk,64,70,train,id10002
DeFVU0k3Itk,71,81,train,id10002
InlN8YghdvE,135,156,train,id10002
InlN8YghdvE,232,237,train,id10002
InlN8YghdvE,246,250,train,id10002
InlN8YghdvE,292,298,train,id10002
Jan16vid,3,48,train,id10001
Jan16vid,180,188,train,id10001
Jan16vid,225,265,train,id10001
Jan16vid,455,500,train,id10001
af,541,635,train,id10002
C0001,21,360,train,id10002
103058_S1R1,10,300,train,id10002
113939_S1R1,10,300,train,id10002
133529_S1R1,10,300,train,id10002
