video_id,start,end,partition,person_id
mii6NydPiqI,0,570,train,id10004
jj7Ulmr1lRc,0,514,train,id10004
7D17ESfq3so,20,1255,train,id10004
7D17ESfq3so,1270,1328,train,id10004
7D17ESfq3so,1338,1838,train,id10004
7D17ESfq3so,1855,2010,train,id10004
NHNnxF4RC0U,0,1160,train,id10004
NHNnxF4RC0U,1175,1234,train,id10004
NHNnxF4RC0U,1240,1740,train,id10004
NHNnxF4RC0U,1240,1740,train,id10004
FdAh2HJ98WE,82,99,train,id10004
FdAh2HJ98WE,125,137,train,id10004
FdAh2HJ98WE,145,155,train,id10004
FdAh2HJ98WE,160,181,train,id10004
FdAh2HJ98WE,304,318,train,id10004
FdAh2HJ98WE,334,352,train,id10004
FdAh2HJ98WE,382,392,train,id10004
